date,code,open,high,low,close,volume,amount
1998-04-27,sz.000858,29.77,57.0,29.77,53.57,34163076,1846204586.12
1998-04-28,sz.000858,54.0,56.5,53.6,54.19,6765827,371571836.1
1998-04-29,sz.000858,54.97,54.98,52.9,53.3,3393230,181927515.95
1998-04-30,sz.000858,53.3,54.2,53.2,53.65,2385686,127942178.11
1998-05-04,sz.000858,55.1,59.02,55.0,59.02,4920974,285312925.33
1998-05-05,sz.000858,62.88,64.9,61.61,62.66,8409522,532130549.21
1998-05-06,sz.000858,62.2,66.0,61.8,65.73,4436626,283147678.47
1998-05-07,sz.000858,67.0,69.8,66.0,66.45,6001649,405496127.67
1998-05-08,sz.000858,66.45,68.18,66.0,67.02,3539365,237166398.66
1998-05-11,sz.000858,66.6,67.18,63.8,64.04,3280228,212802478.32
1998-05-12,sz.000858,63.3,63.8,62.22,63.43,1915108,120685590.84
1998-05-13,sz.000858,63.2,65.75,63.01,63.85,1393048,89469272.65
1998-05-14,sz.000858,63.85,64.45,62.85,63.03,1150134,72694745.88
1998-05-15,sz.000858,63.4,65.2,63.1,63.93,1044006,66869012.35
1998-05-18,sz.000858,65.0,65.0,62.52,63.1,735791,46577620.42
1998-05-19,sz.000858,62.5,64.0,61.5,62.33,1097331,68153736.7
1998-05-20,sz.000858,62.0,62.3,60.85,60.89,921740,56580399.29
1998-05-21,sz.000858,60.3,63.2,60.3,62.01,772176,47390999.46
1998-05-22,sz.000858,62.1,63.0,61.6,62.49,826401,51396795.8
1998-05-25,sz.000858,62.48,62.49,60.86,60.93,687385,42102711.05
1998-05-26,sz.000858,60.88,61.99,60.38,60.74,662982,40315839.15
1998-05-27,sz.000858,61.0,61.0,59.53,59.68,1056097,63468755.74
1998-05-28,sz.000858,59.1,61.48,59.0,60.04,1240320,74459394.76
1998-05-29,sz.000858,60.03,60.9,59.8,60.0,536869,32330498.22
1998-06-01,sz.000858,60.0,60.0,57.88,58.97,1290764,75831724.5
1998-06-02,sz.000858,58.9,58.9,57.8,57.9,858520,49812715.95
