date,code,open,high,low,close,volume,amount
2011-06-30,sz.002594,22.0,26.19,22.0,25.45,56292534,1349342268.22
2011-07-01,sz.002594,25.77,28.0,25.0,28.0,33561279,898679187.4
2011-07-04,sz.002594,28.88,30.8,28.58,30.8,21964591,653517902.24
2011-07-05,sz.002594,32.78,33.88,31.89,33.05,38108083,1257045595.83
2011-07-06,sz.002594,32.8,35.55,32.11,33.4,31296719,1056613865.84
2011-07-07,sz.002594,33.1,33.97,32.58,33.59,22645017,753817699.41
2011-07-08,sz.002594,33.4,33.66,31.86,33.07,17506435,571756761.97
2011-07-11,sz.002594,32.8,33.62,32.51,32.83,13096733,431480979.87
2011-07-12,sz.002594,32.48,32.63,31.2,31.51,18060353,573997323.86
2011-07-13,sz.002594,30.82,31.3,30.52,31.19,16781524,519016769.86
2011-07-14,sz.002594,31.19,31.57,29.33,30.0,19380477,588273968.97
2011-07-15,sz.002594,29.8,30.18,29.13,29.81,13946810,413502318.22
2011-07-18,sz.002594,29.79,32.6,29.71,32.04,31365928,976900506.29
2011-07-19,sz.002594,31.1,31.44,29.9,30.05,16085710,488925108.62
2011-07-20,sz.002594,30.5,31.25,30.09,30.4,11017285,338149346.92
2011-07-21,sz.002594,30.05,30.1,29.01,29.16,10073127,295566876.91
2011-07-22,sz.002594,29.2,29.6,28.81,29.4,6143671,180016380.37
2011-07-25,sz.002594,29.01,29.15,27.5,27.66,8572878,242368968.45
2011-07-26,sz.002594,27.68,28.3,27.32,28.02,5468334,152789204.7
2011-07-27,sz.002594,27.9,29.31,27.4,29.2,9917567,284095006.27
2011-07-28,sz.002594,28.6,28.7,27.91,28.4,5765946,163589283.23
2011-07-29,sz.002594,28.41,29.2,28.01,28.17,5122494,146357835.84
2011-08-01,sz.002594,28.06,29.58,28.0,29.11,8312528,241332081.48
2011-08-02,sz.002594,28.66,31.96,28.21,30.64,17374921,524957816.66
2011-08-03,sz.002594,30.2,32.0,30.03,30.57,13281982,411353363.75
2011-08-04,sz.002594,30.3,30.88,29.65,29.93,8657615,259924071.07
2011-08-05,sz.002594,28.53,29.36,28.0,28.63,7309318,209889849.51
2011-08-08,sz.002594,28.0,28.0,25.8,26.24,9057060,243182930.57
2011-08-09,sz.002594,25.03,26.7,24.07,26.45,8998269,230757588.96
2011-08-10,sz.002594,26.99,27.42,26.42,26.45,7356631,197888411.66
2011-08-11,sz.002594,25.05,26.55,25.05,26.49,5225961,136539948.4
2011-08-12,sz.002594,26.75,27.89,26.66,26.88,6832513,186010041.18
2011-08-15,sz.002594,27.0,29.15,27.0,28.45,11674421,330605642.08
2011-08-16,sz.002594,28.3,28.3,27.5,27.61,6699903,186667622.23
2011-08-17,sz.002594,27.5,28.17,27.41,27.79,3789707,105697707.34
2011-08-18,sz.002594,27.82,27.99,26.71,26.8,4699424,127311203.69
2011-08-19,sz.002594,26.0,26.37,25.68,26.11,3850210,100115453.63
2011-08-22,sz.002594,26.11,26.62,25.9,26.31,3451566,90872027.01
2011-08-23,sz.002594,26.35,26.77,25.65,26.63,5665202,148580317.34
2011-08-24,sz.002594,26.6,26.63,25.64,25.74,7905716,205672342.16
2011-08-25,sz.002594,25.55,26.12,25.06,25.96,6024780,154614134.64
2011-08-26,sz.002594,25.81,26.46,25.68,26.08,5323654,139008104.84
2011-08-29,sz.002594,26.02,26.05,25.6,25.6,3479470,89636483.64
2011-08-30,sz.002594,25.75,26.5,25.61,25.72,5454064,142259341.39
2011-08-31,sz.002594,25.68,25.68,24.33,24.78,5448295,135470419.4
2011-09-01,sz.002594,24.78,25.08,24.0,24.1,4716819,114918402.5
2011-09-02,sz.002594,24.0,24.26,23.62,24.07,3115825,74780194.48
2011-09-05,sz.002594,24.13,24.13,22.66,22.8,3903166,90812425.95
2011-09-06,sz.002594,22.66,23.1,22.36,22.81,3010989,68575715.73
2011-09-07,sz.002594,22.92,23.86,22.92,23.47,4515008,105666086.65
2011-09-08,sz.002594,23.49,23.5,22.5,22.54,3788917,87172278.24
2011-09-13,sz.002594,21.11,21.47,20.5,21.13,4321614,90861034.01
2011-09-14,sz.002594,21.0,21.38,20.62,21.36,3372105,71230770.83
2011-09-15,sz.002594,21.0,21.65,21.0,21.04,3666890,78076319.42
2011-09-16,sz.002594,21.24,21.34,20.77,20.79,3006554,62949125.28
2011-09-19,sz.002594,20.7,20.7,19.6,19.65,3987500,79635510.2
2011-09-20,sz.002594,19.22,20.38,19.2,20.08,3946642,78759989.04
2011-09-21,sz.002594,19.9,20.81,19.88,20.64,4063619,82979389.09
2011-09-22,sz.002594,20.47,20.48,19.88,19.91,3351536,67388145.72
2011-09-23,sz.002594,19.32,19.67,19.16,19.32,2527543,48782242.98
2011-09-26,sz.002594,19.23,19.68,19.06,19.2,2420928,46876229.47
2011-09-27,sz.002594,19.26,21.1,19.2,20.95,9901857,201724685.67
2011-09-28,sz.002594,20.95,21.32,20.2,20.35,7868788,162621765.18
2011-09-29,sz.002594,20.0,20.58,19.5,19.71,4153298,82909264.76
2011-09-30,sz.002594,19.2,19.55,19.01,19.3,5402700,104445048.08
2011-10-10,sz.002594,19.3,19.5,17.98,18.09,7739420,141509108.28
2011-10-11,sz.002594,18.59,18.95,17.77,18.03,5520295,101359588.5
2011-10-12,sz.002594,17.99,18.72,17.4,18.6,5769019,105478569.53
2011-10-13,sz.002594,18.5,20.27,18.25,19.85,10417550,202740318.97
2011-10-14,sz.002594,19.5,19.66,19.21,19.6,6300404,122617012.71
2011-10-17,sz.002594,19.6,19.79,19.3,19.65,3925001,76818559.25
2011-10-18,sz.002594,19.5,19.5,18.6,18.6,5084510,95909677.29
2011-10-19,sz.002594,18.57,20.1,18.45,19.41,6446122,124724510.33
2011-10-20,sz.002594,19.1,19.38,18.31,18.95,3320899,62801070.88
2011-10-21,sz.002594,19.01,19.97,19.0,19.41,6108542,119554778.92
2011-10-24,sz.002594,19.43,21.14,19.43,20.79,11464120,234132970.15
2011-10-25,sz.002594,20.73,21.65,20.12,21.2,10721771,223752474.05
2011-10-26,sz.002594,20.73,21.3,20.55,20.78,8478788,176998267.63
2011-10-27,sz.002594,20.99,22.38,20.82,21.65,12101313,261296630.15
2011-10-28,sz.002594,22.0,22.04,21.31,21.74,7981033,172896218.79
2011-10-31,sz.002594,21.91,23.2,21.91,22.85,11940245,272001161.82
2011-11-01,sz.002594,22.59,25.14,22.4,25.14,19198220,468118074.88
2011-11-02,sz.002594,25.06,26.15,24.85,25.82,18102016,461834625.37
2011-11-03,sz.002594,25.4,25.59,24.94,25.34,12686898,320353121.66
2011-11-04,sz.002594,25.34,25.5,24.85,25.04,7711010,193524047.09
2011-11-07,sz.002594,24.8,24.8,23.91,24.36,7411579,180182963.13
2011-11-08,sz.002594,24.2,24.98,24.1,24.36,7074395,174134789.05
2011-11-09,sz.002594,24.35,24.65,23.4,24.42,6889457,165665084.29
2011-11-10,sz.002594,23.82,24.05,23.54,23.8,7151003,169817537.23
2011-11-11,sz.002594,23.7,23.98,23.25,23.3,4954263,116849284.53
2011-11-14,sz.002594,24.5,25.63,24.33,25.63,10650651,268667950.66
2011-11-15,sz.002594,27.5,28.15,26.5,27.5,24077253,658952721.17
2011-11-16,sz.002594,27.15,27.16,26.2,26.43,12047849,322319312.56
2011-11-17,sz.002594,26.35,27.15,26.33,26.54,8136999,217634490.01
2011-11-18,sz.002594,26.0,26.0,24.95,25.12,8704311,220947515.52
2011-11-21,sz.002594,25.18,26.25,25.07,25.45,7377908,189062400.12
2011-11-22,sz.002594,24.8,25.43,24.33,25.4,6090855,152078590.52
2011-11-23,sz.002594,25.39,25.57,25.0,25.01,4745507,120153985.67
2011-11-24,sz.002594,24.7,25.85,24.1,25.3,8208105,205791031.09
2011-11-25,sz.002594,25.0,25.22,24.36,24.5,4761248,117985421.03
2011-11-28,sz.002594,24.52,25.05,24.38,24.61,3104667,76715698.12
2011-11-29,sz.002594,25.03,25.14,24.7,24.99,3795975,94596184.55
2011-11-30,sz.002594,24.98,24.99,23.16,23.35,5596357,134547566.23
2011-12-01,sz.002594,24.3,24.85,23.73,23.9,4973650,120475605.7
2011-12-02,sz.002594,23.8,24.09,23.06,23.3,3272265,76633888.49
2011-12-05,sz.002594,23.21,23.23,22.0,22.03,2854921,63877560.62
2011-12-06,sz.002594,21.99,22.55,21.99,22.28,2264286,50403461.48
2011-12-07,sz.002594,22.28,22.59,22.0,22.53,2135284,47817081.59
2011-12-08,sz.002594,22.61,23.25,21.48,22.91,4762344,106940040.7
2011-12-09,sz.002594,22.55,22.79,22.26,22.6,2734219,61648747.12
2011-12-12,sz.002594,23.0,24.4,23.0,23.04,5710872,134749617.22
2011-12-13,sz.002594,22.7,22.76,21.5,22.05,3369093,74647982.39
2011-12-14,sz.002594,22.0,22.49,21.6,21.66,3025392,66729057.47
2011-12-15,sz.002594,21.5,21.5,20.0,20.55,3117144,64718435.7
2011-12-16,sz.002594,20.5,21.5,20.2,21.45,3049395,63612934.01
2011-12-19,sz.002594,21.38,23.16,20.89,22.86,8068171,181381183.79
2011-12-20,sz.002594,22.5,23.19,22.41,22.59,4362203,99402719.54
2011-12-21,sz.002594,22.82,22.98,21.18,21.21,3545434,78590714.5
2011-12-22,sz.002594,21.0,22.19,20.2,21.95,4618219,97561233.57
2011-12-23,sz.002594,21.6,22.6,21.55,21.94,3716263,82163179.41
2011-12-26,sz.002594,22.0,22.88,21.84,22.15,4186053,93804455.96
