date,code,open,high,low,close,volume,amount
2019-08-26,sz.003816,2.99,3.59,2.99,3.59,6879920,24576609.0
2019-08-27,sz.003816,3.95,3.95,3.95,3.95,3499337,13822381.0
2019-08-28,sz.003816,4.35,4.35,4.35,4.35,6936108,30172069.8
2019-08-29,sz.003816,4.79,4.79,4.79,4.79,12316022,58993745.38
2019-08-30,sz.003816,5.22,5.25,4.8,5.18,1263079792,6270395717.25
2019-09-02,sz.003816,4.91,4.96,4.71,4.85,607334288,2949143951.99
2019-09-03,sz.003816,4.79,4.94,4.7,4.85,440670784,2122508663.49
2019-09-04,sz.003816,4.8,4.82,4.72,4.76,352130096,1676682246.84
2019-09-05,sz.003816,4.77,4.94,4.71,4.85,543308736,2623193312.01
2019-09-06,sz.003816,4.8,4.81,4.72,4.75,320436640,1525643511.11
2019-09-09,sz.003816,4.78,4.79,4.73,4.77,224416567,1067256359.71
2019-09-10,sz.003816,4.75,4.76,4.71,4.72,204260973,965092893.42
2019-09-11,sz.003816,4.72,4.74,4.6,4.61,291312672,1357301131.56
2019-09-12,sz.003816,4.61,4.61,4.51,4.54,178461143,811538936.09
2019-09-16,sz.003816,4.55,4.63,4.53,4.58,138106658,633093736.59
2019-09-17,sz.003816,4.55,4.56,4.44,4.45,157252707,704926494.85
2019-09-18,sz.003816,4.45,4.47,4.36,4.37,133889453,588358553.64
2019-09-19,sz.003816,4.36,4.4,4.34,4.38,82992246,362308757.55
2019-09-20,sz.003816,4.38,4.39,4.35,4.36,76214931,332734013.3
2019-09-23,sz.003816,4.35,4.35,4.21,4.23,120165612,510944577.6
2019-09-24,sz.003816,4.23,4.64,4.22,4.47,298493936,1338806147.35
2019-09-25,sz.003816,4.4,4.4,4.3,4.31,139227380,603173763.91
2019-09-26,sz.003816,4.3,4.35,4.21,4.22,98897938,421405252.39
2019-09-27,sz.003816,4.24,4.26,4.21,4.23,63641814,269263395.08
2019-09-30,sz.003816,4.23,4.25,4.2,4.2,50696980,213955162.11
2019-10-08,sz.003816,4.2,4.22,4.13,4.14,73728526,306810799.23
2019-10-09,sz.003816,4.12,4.15,4.06,4.12,68590495,281052580.27
2019-10-10,sz.003816,4.11,4.27,4.1,4.19,95113550,398980230.68
2019-10-11,sz.003816,4.17,4.21,4.16,4.19,65329444,273865099.09
2019-10-14,sz.003816,4.22,4.24,4.19,4.22,75330751,317875345.48
2019-10-15,sz.003816,4.21,4.22,4.15,4.16,61814233,257537196.57
2019-10-16,sz.003816,4.17,4.19,4.11,4.12,49628719,205569879.56
2019-10-17,sz.003816,4.12,4.13,4.08,4.09,47577886,195023975.75
2019-10-18,sz.003816,4.1,4.11,4.04,4.05,53127561,216180429.08
2019-10-21,sz.003816,4.05,4.06,3.95,3.99,68160808,271014428.79
2019-10-22,sz.003816,3.98,3.99,3.95,3.99,41995321,166741824.85
2019-10-23,sz.003816,3.99,3.99,3.95,3.96,39683853,157247720.14
2019-10-24,sz.003816,3.97,4.1,3.94,4.0,91287957,366789090.6
2019-10-25,sz.003816,3.98,3.99,3.95,3.98,46627011,184920536.43
2019-10-28,sz.003816,3.98,4.05,3.97,4.02,54634857,219494548.68
2019-10-29,sz.003816,4.02,4.02,3.96,3.96,49632932,197717587.21
2019-10-30,sz.003816,3.95,3.96,3.86,3.86,72691605,283040519.91
2019-10-31,sz.003816,3.88,3.91,3.86,3.87,45566945,176557004.95
2019-11-01,sz.003816,3.86,3.87,3.81,3.86,48826589,187511627.09
2019-11-04,sz.003816,3.85,3.88,3.84,3.85,40276725,155240901.52
2019-11-05,sz.003816,3.85,3.86,3.82,3.84,42382722,162636885.98
2019-11-06,sz.003816,3.84,3.84,3.76,3.78,57706712,219560569.63
2019-11-07,sz.003816,3.77,3.78,3.74,3.75,45655296,171619960.58
2019-11-08,sz.003816,3.77,3.78,3.75,3.76,42462539,159888823.39
2019-11-11,sz.003816,3.74,3.75,3.62,3.63,71125927,260568392.5
2019-11-12,sz.003816,3.64,3.65,3.53,3.57,58784262,209973008.1
2019-11-13,sz.003816,3.56,3.56,3.47,3.48,68006510,237674401.43
2019-11-14,sz.003816,3.47,3.67,3.43,3.57,118518997,424075180.11
2019-11-15,sz.003816,3.53,3.55,3.47,3.47,58327374,204233204.4
2019-11-18,sz.003816,3.47,3.5,3.44,3.47,33994964,117784275.44
2019-11-19,sz.003816,3.47,3.56,3.45,3.52,53062913,186776741.09
2019-11-20,sz.003816,3.51,3.56,3.5,3.53,43409857,153363549.42
