date,code,open,high,low,close,volume,amount
2011-03-16,sz.300189,26.5,28.0,26.02,26.85,23869676.0,642829759.33
2011-03-17,sz.300189,25.5,26.49,25.28,25.38,10296827.0,265205667.32
2011-03-18,sz.300189,25.8,26.5,25.5,25.78,6545642.0,170010392.94
2011-03-21,sz.300189,25.98,26.68,25.83,26.1,4885509.0,128216497.03
2011-03-22,sz.300189,26.08,26.76,25.9,26.64,5347951.0,141374997.25
2011-03-23,sz.300189,26.64,26.64,26.02,26.34,4439931.0,116423592.91
2011-03-24,sz.300189,26.2,26.3,25.61,25.72,4644613.0,120335410.09
2011-03-25,sz.300189,25.64,26.0,25.55,25.7,2760332.0,71115903.88
2011-03-28,sz.300189,25.63,25.85,25.25,25.25,3292330.0,83783852.47
2011-03-29,sz.300189,25.1,25.1,24.01,24.16,3544416.0,86475079.89
2011-03-30,sz.300189,24.1,24.25,23.75,24.14,2006193.0,48158916.93
2011-03-31,sz.300189,24.08,24.45,24.05,24.17,1302825.0,31586828.25
2011-04-01,sz.300189,24.2,24.38,24.11,24.18,1057407.0,25617927.09
2011-04-06,sz.300189,23.99,24.18,23.38,23.4,1948607.0,46170550.01
2011-04-07,sz.300189,23.41,23.91,23.05,23.68,1252143.0,29580361.71
2011-04-08,sz.300189,23.74,24.06,23.61,23.89,905457.0,21650485.75
2011-04-11,sz.300189,23.84,23.88,23.06,23.17,1715609.0,40078534.22
2011-04-12,sz.300189,23.17,23.35,23.03,23.22,935473.0,21707048.81
2011-04-13,sz.300189,23.2,23.65,23.15,23.55,919003.0,21563890.55
2011-04-14,sz.300189,23.6,24.15,23.6,23.8,1437300.0,34436823.72
2011-04-15,sz.300189,23.65,23.68,23.2,23.45,964264.0,22584193.7
2011-04-18,sz.300189,23.48,23.87,23.38,23.82,1017854.0,24072046.86
2011-04-19,sz.300189,23.92,24.78,23.92,24.1,2767140.0,67484273.92
2011-04-20,sz.300189,23.99,24.19,23.65,23.9,1225774.0,29167529.85
2011-04-21,sz.300189,23.8,24.0,23.53,23.61,1174589.0,27818705.0
2011-04-22,sz.300189,23.58,23.61,23.3,23.42,891866.0,20889162.39
2011-04-25,sz.300189,23.5,23.51,22.8,22.8,984158.0,22679137.8
2011-04-26,sz.300189,22.85,22.9,22.1,22.28,1045437.0,23351127.63
2011-04-27,sz.300189,22.31,22.45,21.51,21.63,703820.0,15460772.0
2011-04-28,sz.300189,22.51,22.77,21.8,21.88,1584991.0,35373439.34
2011-04-29,sz.300189,22.06,22.69,21.88,22.54,1461438.0,32800633.4
2011-05-03,sz.300189,22.6,22.88,22.5,22.8,1023932.0,23264968.7
2011-05-04,sz.300189,22.78,22.78,22.19,22.35,910016.0,20355481.06
2011-05-05,sz.300189,22.35,22.79,22.15,22.7,936520.0,21197196.77
2011-05-06,sz.300189,22.43,23.09,22.36,23.05,1179383.0,27011941.55
2011-05-09,sz.300189,23.08,23.2,22.8,22.9,817963.0,18786245.17
2011-05-10,sz.300189,22.9,22.95,22.57,22.73,770575.0,17477816.88
2011-05-11,sz.300189,23.19,23.49,22.93,22.97,1505763.0,34937136.69
2011-05-12,sz.300189,22.7,22.85,22.2,22.2,1054089.0,23770824.87
2011-05-13,sz.300189,22.48,22.48,22.08,22.38,571915.0,12719453.44
2011-05-16,sz.300189,22.4,22.49,22.2,22.22,551435.0,12311168.17
2011-05-17,sz.300189,22.18,22.63,22.16,22.46,725873.0,16220771.98
2011-05-18,sz.300189,22.51,22.56,22.37,22.47,565079.0,12694653.06
2011-05-19,sz.300189,22.5,22.75,20.4,22.1,782584.0,17527587.87
