date,code,open,high,low,close,volume,amount
2018-06-11,sz.300750,30.17,36.2,30.17,36.2,78829,2845471.8
2018-06-12,sz.300750,39.82,39.82,39.82,39.82,26579,1058375.78
2018-06-13,sz.300750,43.8,43.8,43.8,43.8,45030,1972314.0
2018-06-14,sz.300750,48.18,48.18,48.18,48.18,74267,3578184.06
2018-06-15,sz.300750,53.0,53.0,53.0,53.0,256510,13595030.0
2018-06-19,sz.300750,58.3,58.3,58.3,58.3,1117428,65146052.4
2018-06-20,sz.300750,64.13,64.13,64.13,64.13,1310382,84034797.66
2018-06-21,sz.300750,70.54,70.54,70.54,70.54,1231660,86881296.4
2018-06-22,sz.300750,72.0,72.71,63.49,66.55,128170599,8599728955.52
2018-06-25,sz.300750,68.2,71.6,67.22,69.19,69981999,4868406844.02
2018-06-26,sz.300750,67.89,75.55,67.1,74.18,62553547,4537098812.25
2018-06-27,sz.300750,74.21,74.93,71.77,74.09,44138862,3241043472.73
2018-06-28,sz.300750,73.3,75.39,67.44,68.21,53080981,3770134240.69
2018-06-29,sz.300750,68.68,74.3,67.77,71.96,45698575,3231958793.35
2018-07-02,sz.300750,70.79,71.48,69.11,70.0,32470182,2278646004.68
2018-07-03,sz.300750,70.2,71.19,65.85,69.29,33910064,2337186967.56
2018-07-04,sz.300750,68.15,68.15,65.5,65.92,26282197,1749919477.55
2018-07-05,sz.300750,65.0,71.88,64.88,68.81,34337783,2343510066.96
2018-07-06,sz.300750,68.81,74.5,68.7,70.88,49213427,3511358606.62
2018-07-09,sz.300750,70.8,71.57,69.11,71.55,31068979,2183986505.88
2018-07-10,sz.300750,75.0,75.89,71.66,72.4,36484401,2666043239.85
2018-07-11,sz.300750,70.0,78.94,69.58,77.06,49120805,3695050773.74
2018-07-12,sz.300750,76.03,84.77,75.6,84.77,43085212,3430182907.14
2018-07-13,sz.300750,82.0,88.47,81.03,82.7,48202055,4049051405.3
2018-07-16,sz.300750,82.7,84.75,80.1,83.9,29515196,2439742028.8
2018-07-17,sz.300750,83.11,84.17,79.66,82.28,28615349,2336837084.78
2018-07-18,sz.300750,82.28,84.37,80.11,82.28,27113839,2233771784.96
2018-07-19,sz.300750,82.0,85.15,80.67,82.89,25074483,2089886953.76
2018-07-20,sz.300750,82.5,91.18,82.01,90.93,42695635,3750334637.77
2018-07-23,sz.300750,89.0,90.54,87.55,88.62,25014352,2223986140.57
2018-07-24,sz.300750,88.5,92.96,87.5,91.77,26501025,2395962685.56
2018-07-25,sz.300750,91.0,95.08,82.59,82.59,45719348,4027958763.72
2018-07-26,sz.300750,80.5,82.6,76.6,78.2,39286999,3115796617.37
2018-07-27,sz.300750,78.0,78.64,75.67,76.05,22809584,1748397062.28
2018-07-30,sz.300750,76.5,77.34,75.0,76.85,18041846,1377263289.26
2018-07-31,sz.300750,76.78,76.79,70.51,72.22,28128307,2055880224.98
2018-08-01,sz.300750,72.0,73.63,71.02,71.42,17933649,1298707855.01
2018-08-02,sz.300750,70.4,73.29,70.05,72.56,19853529,1429095207.76
2018-08-03,sz.300750,71.76,73.14,68.66,69.6,17288867,1223071469.51
2018-08-06,sz.300750,69.0,71.08,67.6,69.65,15706945,1096989857.83
