date,code,open,high,low,close,volume,amount
2000-04-27,sh.600008,18.0,18.55,16.01,17.42,68952797,1180499316.0
2000-04-28,sh.600008,17.01,19.16,16.81,19.16,30937755,568576995.0
2000-05-08,sh.600008,21.08,21.08,20.68,21.08,16384249,345124340.0
2000-05-09,sh.600008,21.58,23.1,20.71,21.45,42558643,925299950.0
2000-05-10,sh.600008,21.35,22.49,20.5,21.7,19024058,412297814.0
2000-05-11,sh.600008,21.55,21.65,19.53,19.8,21116202,428458697.0
2000-05-12,sh.600008,19.7,20.95,19.66,20.2,9175325,186144714.0
2000-05-15,sh.600008,20.19,20.19,19.17,19.51,5125170,100497658.0
2000-05-16,sh.600008,19.5,20.2,19.2,19.8,3812449,75003444.0
2000-05-17,sh.600008,19.8,20.2,19.56,19.62,3730974,74310505.0
2000-05-18,sh.600008,19.55,20.39,19.25,20.09,5475681,109020182.0
2000-05-19,sh.600008,20.11,20.95,19.9,20.4,6659817,136445760.0
2000-05-22,sh.600008,20.5,21.24,20.3,21.24,6258045,129747807.0
2000-05-23,sh.600008,21.5,21.6,20.63,20.96,5574224,117065303.0
2000-05-24,sh.600008,20.89,21.31,20.7,20.93,5230602,109747226.0
2000-05-25,sh.600008,20.93,21.3,20.58,20.8,5116280,106195369.0
2000-05-26,sh.600008,20.8,20.8,20.38,20.39,4333730,88879014.0
2000-05-29,sh.600008,20.39,20.8,20.0,20.53,3693502,75033299.0
2000-05-30,sh.600008,20.58,20.7,20.0,20.1,3852393,77730115.0
2000-05-31,sh.600008,20.0,20.45,19.8,20.06,2386169,47942350.0
2000-06-01,sh.600008,20.05,20.39,20.0,20.1,2053507,41350621.0
2000-06-02,sh.600008,20.15,20.31,19.8,20.0,3140840,62712321.0
2000-06-05,sh.600008,20.0,20.1,19.59,19.68,3303127,65165371.0
2000-06-06,sh.600008,19.8,21.65,19.7,21.65,8587754,183073369.0
2000-06-07,sh.600008,22.93,23.33,21.8,21.95,15088229,339519691.0
2000-06-08,sh.600008,21.9,21.95,21.0,21.3,5338691,114164764.0
2000-06-09,sh.600008,21.2,21.69,20.71,20.8,3370363,71278197.0
2000-06-12,sh.600008,20.68,22.66,20.52,22.25,6772627,148436455.0
2000-06-13,sh.600008,22.25,22.45,21.86,22.08,4627124,102532018.0
2000-06-14,sh.600008,22.11,22.6,21.68,21.76,3528371,77894558.0
2000-06-15,sh.600008,21.68,22.5,21.65,22.05,2863779,63211762.0
2000-06-16,sh.600008,22.2,22.88,21.7,21.81,3604591,80346164.0
2000-06-19,sh.600008,21.7,21.99,21.52,21.55,2051194,44597901.0
2000-06-20,sh.600008,21.5,21.71,21.2,21.25,1810021,38839614.0
2000-06-21,sh.600008,21.4,22.4,21.3,21.92,2967765,64943812.0
2000-06-22,sh.600008,21.99,22.38,21.8,21.8,2742603,60512286.0
2000-06-23,sh.600008,22.38,22.99,22.0,22.41,4989695,112947777.0
2000-06-26,sh.600008,22.61,23.1,22.18,22.82,5300937,120545224.0
2000-06-27,sh.600008,22.85,22.92,22.1,22.24,2933820,65753305.0
2000-06-28,sh.600008,22.47,22.65,22.18,22.29,1639830,36691928.0
2000-06-29,sh.600008,22.3,22.35,21.85,22.15,2266387,49921787.0
2000-06-30,sh.600008,22.08,22.16,21.81,21.88,1664677,36512619.0
2000-07-03,sh.600008,21.6,21.8,21.3,21.33,2059844,44276662.0
2000-07-04,sh.600008,21.3,21.7,21.2,21.64,1401500,29939949.0
2000-07-05,sh.600008,21.64,21.68,21.2,21.29,1474750,31423503.0
2000-07-06,sh.600008,20.94,21.39,20.94,21.28,1272885,26958007.0
2000-07-07,sh.600008,21.28,21.7,21.2,21.68,751791,16169216.0
2000-07-10,sh.600008,21.68,21.68,21.13,21.24,1726284,36692753.0
2000-07-11,sh.600008,21.2,21.8,21.0,21.63,1563955,33294007.0
2000-07-12,sh.600008,21.6,21.99,21.25,21.76,1442589,31238000.0
2000-07-13,sh.600008,21.76,23.88,21.65,22.77,8863562,201449831.0
2000-07-14,sh.600008,22.69,22.8,21.93,22.1,3126365,69610952.0
2000-07-17,sh.600008,22.4,22.5,21.75,21.76,1654248,36445228.0
2000-07-18,sh.600008,21.78,22.5,21.78,21.99,845089,18609858.0
2000-07-19,sh.600008,22.0,22.15,21.65,21.68,1159723,25293133.0
2000-07-20,sh.600008,21.61,21.8,21.55,21.73,994069,21530121.0
2000-07-21,sh.600008,21.7,22.0,21.6,21.75,720850,15695035.0
2000-07-24,sh.600008,21.8,21.81,21.4,21.42,1007413,21652754.0
2000-07-25,sh.600008,21.4,21.7,21.4,21.45,770191,16539312.0
2000-07-26,sh.600008,21.49,22.25,21.49,21.82,1222462,26778972.0
2000-07-27,sh.600008,22.0,22.2,21.66,21.7,818229,17867658.0
2000-07-28,sh.600008,21.78,21.95,21.4,21.45,1357571,29284113.0
2000-07-31,sh.600008,21.42,21.7,21.28,21.53,1302383,27878067.0
2000-08-01,sh.600008,21.53,21.89,21.2,21.36,701263,15015377.0
2000-08-02,sh.600008,21.43,21.6,21.25,21.38,812796,17344691.0
2000-08-03,sh.600008,21.6,22.15,21.28,22.0,1795915,39003013.0
2000-08-04,sh.600008,22.0,22.56,21.89,22.04,3617907,80495494.0
2000-08-07,sh.600008,22.21,22.44,21.98,22.35,1449812,32189169.0
2000-08-08,sh.600008,22.25,22.36,21.88,21.95,1287053,28378897.0
2000-08-09,sh.600008,21.95,22.38,21.75,22.3,1772344,39190306.0
2000-08-10,sh.600008,22.35,23.2,22.17,22.66,5408920,123233128.0
2000-08-11,sh.600008,22.7,22.79,22.0,22.14,1715175,38294851.0
2000-08-14,sh.600008,22.08,22.4,22.01,22.18,1040585,23033677.0
2000-08-15,sh.600008,22.18,22.67,22.04,22.67,1326722,29597842.0
2000-08-16,sh.600008,22.62,23.45,22.55,22.8,4737177,109335856.0
2000-08-17,sh.600008,22.7,23.07,22.5,22.8,1522483,34614582.0
2000-08-18,sh.600008,22.81,23.3,22.81,22.89,2676945,61796137.0
2000-08-21,sh.600008,23.0,24.28,22.98,24.11,6377968,150714206.0
2000-08-22,sh.600008,24.11,24.77,23.37,23.37,7475900,180850571.0
2000-08-23,sh.600008,23.2,24.38,22.4,24.02,8806359,205534861.0
2000-08-24,sh.600008,24.38,24.7,23.6,24.22,5183355,125926126.0
2000-08-25,sh.600008,24.22,24.48,23.75,24.1,3377660,81062617.0
2000-08-28,sh.600008,24.1,24.3,23.85,24.0,2143831,51486677.0
2000-08-29,sh.600008,24.0,25.58,24.0,25.2,6111192,152649201.0
2000-08-30,sh.600008,25.11,25.39,24.49,24.55,3841518,95472339.0
2000-08-31,sh.600008,24.4,24.54,23.7,23.8,4944774,118991784.0
2000-09-01,sh.600008,23.51,23.78,23.0,23.15,3399105,79743022.0
2000-09-04,sh.600008,23.0,23.75,23.0,23.75,2329141,54721614.0
2000-09-05,sh.600008,23.76,23.8,22.85,23.0,1708962,39792846.0
2000-09-06,sh.600008,22.89,23.0,22.1,22.1,3210115,72449472.0
2000-09-07,sh.600008,22.1,23.0,22.1,22.49,1402994,31519959.0
2000-09-08,sh.600008,22.5,22.75,22.36,22.49,943810,21275830.0
2000-09-11,sh.600008,22.5,22.84,22.3,22.8,685686,15493801.0
2000-09-12,sh.600008,22.75,22.98,22.56,22.7,638139,14494835.0
2000-09-13,sh.600008,22.6,23.0,22.53,22.7,942721,21475067.0
2000-09-14,sh.600008,22.7,22.9,22.46,22.51,912020,20656843.0
2000-09-15,sh.600008,22.51,22.8,22.12,22.2,1261705,28087212.0
2000-09-18,sh.600008,22.2,22.5,21.65,21.71,1279713,28203221.0
2000-09-19,sh.600008,21.58,21.58,20.99,21.03,1581597,33456243.0
2000-09-20,sh.600008,21.0,21.6,20.9,21.58,995926,21062781.0
2000-09-21,sh.600008,21.48,21.48,21.02,21.1,504218,10671955.0
2000-09-22,sh.600008,21.05,21.1,20.95,21.0,630389,13240478.0
2000-09-26,sh.600008,21.0,21.8,20.96,21.58,452247,9580127.0
2000-09-27,sh.600008,21.49,21.49,21.1,21.41,448168,9564696.0
2000-09-28,sh.600008,21.2,21.58,21.0,21.03,706780,14963321.0
2000-09-29,sh.600008,20.98,21.25,20.6,20.91,1274794,26663394.0
2000-10-09,sh.600008,21.0,21.0,20.15,20.25,1122890,22906260.0
2000-10-10,sh.600008,20.25,20.74,20.2,20.53,891640,18260806.0
2000-10-11,sh.600008,20.25,22.0,20.0,21.2,4997309,104759729.0
2000-10-12,sh.600008,21.0,21.38,20.6,20.68,1605546,33609010.0
2000-10-13,sh.600008,20.67,20.9,20.3,20.58,1069442,21941113.0
2000-10-16,sh.600008,20.4,20.58,20.18,20.58,797864,16199828.0
2000-10-17,sh.600008,20.5,20.58,20.22,20.38,506900,10321174.0
2000-10-18,sh.600008,20.38,20.99,20.25,20.85,1057001,21821657.0
2000-10-19,sh.600008,20.85,20.97,20.3,20.41,864140,17657660.0
2000-10-20,sh.600008,20.45,21.34,20.2,21.16,2081492,43693391.0
2000-10-23,sh.600008,21.3,21.3,20.9,21.16,1055025,22221066.0
2000-10-24,sh.600008,21.16,21.36,21.0,21.3,986106,20888874.0
2000-10-25,sh.600008,21.34,21.96,21.34,21.45,2179680,47178724.0
2000-10-26,sh.600008,21.48,21.55,21.28,21.4,787086,16802137.0
2000-10-27,sh.600008,21.4,21.45,20.76,20.9,2008285,42053582.0
2000-10-30,sh.600008,20.9,21.0,20.51,20.85,1392158,28955202.0
2000-10-31,sh.600008,20.77,20.99,20.65,20.76,621591,12913194.0
2000-11-01,sh.600008,20.8,20.99,20.68,20.8,986000,20464592.0
2000-11-02,sh.600008,20.9,20.94,20.68,20.7,1466159,30449655.0
2000-11-03,sh.600008,20.72,21.4,20.71,21.18,1604103,33988377.0
2000-11-06,sh.600008,21.18,21.3,20.9,21.06,914198,19264843.0
2000-11-07,sh.600008,21.18,21.44,21.0,21.19,1471292,31125322.0
2000-11-08,sh.600008,21.26,21.86,21.18,21.7,2710088,58560173.0
2000-11-09,sh.600008,21.74,21.85,21.5,21.69,2077452,45014194.0
2000-11-10,sh.600008,21.8,22.38,21.71,21.87,2897525,63731076.0
2000-11-13,sh.600008,21.95,22.7,21.95,22.35,3767430,84378271.0
2000-11-14,sh.600008,22.5,22.54,22.0,22.4,1614456,35917416.0
2000-11-15,sh.600008,22.4,22.4,22.0,22.11,1543809,34233840.0
2000-11-16,sh.600008,22.12,22.34,21.8,21.93,1704914,37480552.0
2000-11-17,sh.600008,22.0,22.4,21.93,22.4,1533990,33960416.0
2000-11-20,sh.600008,22.5,22.5,21.9,22.02,1171359,25849391.0
2000-11-21,sh.600008,22.03,22.38,21.95,22.09,1560562,34550233.0
2000-11-22,sh.600008,22.2,23.18,22.1,22.72,2266140,51498027.0
2000-11-23,sh.600008,23.0,23.0,22.4,22.55,1222053,27699581.0
2000-11-24,sh.600008,22.5,22.7,21.51,21.63,2101211,46299156.0
2000-11-27,sh.600008,21.5,21.65,21.25,21.38,1203823,25739249.0
2000-11-28,sh.600008,21.38,21.7,21.38,21.5,674080,14492602.0
2000-11-29,sh.600008,21.6,21.6,21.11,21.25,918935,19584842.0
2000-11-30,sh.600008,21.16,21.3,21.0,21.16,775965,16408157.0
2000-12-01,sh.600008,21.21,21.86,21.16,21.55,1352308,29102515.0
2000-12-04,sh.600008,21.58,21.72,21.31,21.48,621263,13309737.0
2000-12-05,sh.600008,21.5,21.65,21.15,21.3,901309,19181371.0
2000-12-06,sh.600008,21.3,21.48,21.05,21.1,1083000,22974523.0
2000-12-07,sh.600008,20.9,21.2,20.9,21.03,853276,17934957.0
2000-12-08,sh.600008,21.04,21.11,20.8,20.88,1062090,22256315.0
2000-12-11,sh.600008,20.87,20.88,20.5,20.6,912464,18819386.0
2000-12-12,sh.600008,20.7,20.97,20.6,20.88,624996,13015185.0
2000-12-13,sh.600008,21.0,21.25,20.8,20.88,763815,16011739.0
2000-12-14,sh.600008,20.85,21.09,20.7,20.74,455010,9462128.0
2000-12-15,sh.600008,20.9,21.46,19.42,21.35,1170103,24525251.0
2000-12-18,sh.600008,21.2,22.07,21.11,21.74,2157031,46801777.0
2000-12-19,sh.600008,21.81,21.9,21.4,21.68,847660,18339573.0
2000-12-20,sh.600008,21.78,21.78,21.38,21.68,1034641,22347806.0
2000-12-21,sh.600008,21.9,22.3,21.62,21.69,1862785,41095562.0
2000-12-22,sh.600008,21.8,22.15,21.7,21.89,1091500,23938383.0
2000-12-25,sh.600008,21.85,22.35,21.8,21.98,1149266,25330004.0
2000-12-26,sh.600008,21.95,22.2,21.7,21.87,674652,14759637.0
2000-12-27,sh.600008,21.88,21.98,21.03,21.3,1045154,22537956.0
2000-12-28,sh.600008,21.3,21.69,21.3,21.62,811241,17404229.0
2000-12-29,sh.600008,21.59,21.78,21.55,21.68,606300,13141239.0
2001-01-02,sh.600008,21.82,22.12,21.79,22.02,1004684,22098414.0
2001-01-03,sh.600008,22.1,22.4,22.0,22.3,1503326,33434163.0
2001-01-04,sh.600008,22.36,22.49,22.0,22.08,940844,20900475.0
2001-01-05,sh.600008,22.09,22.3,22.0,22.08,1198200,26482892.0
2001-01-08,sh.600008,22.1,22.3,21.58,21.8,1115944,24338371.0
2001-01-09,sh.600008,21.6,21.85,21.2,21.5,1257699,27047564.0
2001-01-10,sh.600008,21.5,21.85,21.4,21.61,1470756,31747991.0
2001-01-11,sh.600008,21.65,22.2,21.59,22.01,2722120,59480505.0
2001-01-12,sh.600008,22.0,22.15,21.9,21.99,1085349,23889523.0
2001-01-15,sh.600008,22.0,22.0,20.9,20.99,1825280,38908453.0
2001-01-16,sh.600008,20.89,21.1,20.1,20.58,2936617,60181382.0
2001-01-17,sh.600008,20.98,20.98,20.1,20.36,1792232,36479041.0
2001-01-18,sh.600008,20.49,20.73,20.0,20.7,2047185,41643242.0
2001-01-19,sh.600008,20.8,20.9,20.7,20.83,777259,16170708.0
2001-02-05,sh.600008,20.87,20.98,20.0,20.2,954130,19415292.0
2001-02-06,sh.600008,20.18,20.18,19.0,19.8,1422278,27842934.0
2001-02-07,sh.600008,19.8,19.82,19.15,19.2,1286594,24822850.0
2001-02-08,sh.600008,19.2,19.5,17.85,17.98,2883076,53435961.0
2001-02-09,sh.600008,18.01,18.5,17.88,18.24,1918702,34754910.0
2001-02-12,sh.600008,18.3,18.4,17.8,17.9,1505653,27040485.0
2001-02-13,sh.600008,18.04,18.45,17.97,18.12,2221910,40214870.0
2001-02-14,sh.600008,18.2,18.41,18.15,18.36,525454,9621540.0
2001-02-15,sh.600008,18.4,18.47,18.1,18.16,704885,12922705.0
2001-02-16,sh.600008,18.16,18.3,17.65,17.96,1399684,24958624.0
2001-02-19,sh.600008,18.0,18.3,17.9,18.21,932249,16895291.0
2001-02-20,sh.600008,18.21,18.42,17.9,18.12,1354829,24633909.0
2001-02-21,sh.600008,18.12,18.12,17.81,18.03,589404,10605109.0
2001-02-22,sh.600008,18.0,18.2,17.8,18.14,440506,7940262.0
2001-02-23,sh.600008,18.12,18.4,18.1,18.4,478611,8752083.0
2001-02-26,sh.600008,19.0,19.0,18.45,18.8,1318405,24633313.0
2001-02-27,sh.600008,18.9,18.92,18.56,18.67,675461,12634588.0
2001-02-28,sh.600008,18.7,18.86,18.5,18.75,514890,9662855.0
2001-03-01,sh.600008,18.8,18.97,18.71,18.9,1216652,22947184.0
2001-03-02,sh.600008,18.85,19.0,18.8,18.9,683393,12931627.0
2001-03-05,sh.600008,18.9,18.91,18.6,18.62,642948,12017893.0
2001-03-06,sh.600008,18.6,18.6,18.28,18.4,670203,12313351.0
2001-03-07,sh.600008,18.4,18.7,18.4,18.51,241659,4483163.0
2001-03-08,sh.600008,18.55,18.63,18.4,18.6,351796,6513110.0
2001-03-09,sh.600008,18.8,18.95,18.4,18.88,689645,12957484.0
2001-03-12,sh.600008,18.9,18.92,18.56,18.66,487425,9106775.0
2001-03-13,sh.600008,18.6,18.91,18.56,18.75,354320,6642611.0
2001-03-14,sh.600008,18.75,18.88,18.59,18.86,440875,8250087.0
2001-03-15,sh.600008,18.88,18.9,18.78,18.79,477738,9000415.0
2001-03-16,sh.600008,18.8,19.5,18.8,19.3,1870372,36119126.0
2001-03-19,sh.600008,19.31,19.59,19.28,19.5,965306,18792482.0
2001-03-20,sh.600008,19.51,19.58,19.28,19.34,746563,14496105.0
2001-03-21,sh.600008,19.36,19.4,19.1,19.28,587469,11276266.0
2001-03-22,sh.600008,19.38,19.84,19.35,19.46,950280,18623779.0
2001-03-23,sh.600008,19.5,19.55,18.98,19.0,980638,18826430.0
2001-03-26,sh.600008,18.97,19.2,18.9,19.18,848848,16202928.0
2001-03-27,sh.600008,19.25,19.5,19.16,19.39,677958,13073940.0
2001-03-28,sh.600008,19.3,19.75,19.3,19.58,770406,15057244.0
2001-03-29,sh.600008,19.65,19.84,19.5,19.52,603200,11863467.0
2001-03-30,sh.600008,19.4,19.62,19.36,19.45,615016,11969468.0
2001-04-02,sh.600008,19.45,20.14,19.43,19.86,1578126,31503467.0
2001-04-03,sh.600008,19.95,19.95,19.6,19.72,615149,12143044.0
2001-04-04,sh.600008,19.72,19.9,19.1,19.23,930550,18153952.0
2001-04-05,sh.600008,19.2,19.4,19.05,19.39,660800,12695873.0
2001-04-06,sh.600008,19.9,19.9,18.87,19.4,652417,12640027.0
2001-04-09,sh.600008,19.39,19.39,19.1,19.3,579384,11129002.0
2001-04-10,sh.600008,19.3,19.35,19.1,19.18,772486,14833948.0
2001-04-11,sh.600008,19.2,19.3,19.0,19.1,786793,15024163.0
2001-04-12,sh.600008,19.1,19.3,18.98,19.19,884143,16884137.0
2001-04-13,sh.600008,19.19,19.4,19.1,19.3,551520,10588490.0
2001-04-16,sh.600008,19.3,19.99,19.3,19.78,1036826,20391111.0
2001-04-17,sh.600008,19.78,19.87,19.5,19.8,984966,19357310.0
2001-04-18,sh.600008,19.8,19.85,19.55,19.64,794584,15608325.0
2001-04-19,sh.600008,19.55,19.61,19.3,19.33,904924,17511558.0
2001-04-20,sh.600008,19.98,19.98,19.5,19.55,975084,19183946.0
2001-04-23,sh.600008,19.5,19.76,19.18,19.3,887157,17156135.0
2001-04-24,sh.600008,19.3,19.36,19.12,19.18,860980,16553449.0
2001-04-25,sh.600008,19.38,19.4,18.8,18.9,1275418,24231139.0
2001-04-26,sh.600008,18.85,18.89,18.5,18.6,1144400,21368125.0
2001-04-27,sh.600008,18.6,18.78,18.48,18.53,1249282,23198845.0
