date,code,open,high,low,close,volume,amount
2002-04-09,sh.600036,10.51,10.88,10.51,10.66,414108831,4418821513.0
2002-04-10,sh.600036,10.66,10.7,10.39,10.6,67945475,716684277.0
2002-04-11,sh.600036,10.6,10.68,10.49,10.52,22788255,240963540.0
2002-04-12,sh.600036,10.5,10.64,10.48,10.57,21256463,224059896.0
2002-04-15,sh.600036,10.57,10.6,10.35,10.39,18531104,193306921.0
2002-04-16,sh.600036,10.35,10.39,10.14,10.16,24925491,254942372.0
2002-04-17,sh.600036,10.15,10.26,10.09,10.22,11459339,116550894.0
2002-04-18,sh.600036,10.2,10.2,10.1,10.12,8533279,86436774.0
2002-04-19,sh.600036,10.1,10.15,9.99,10.14,15722249,157784095.0
2002-04-22,sh.600036,10.1,10.1,9.99,10.01,6593827,66105563.0
2002-04-23,sh.600036,10.0,10.09,9.91,10.0,7376544,73759692.0
2002-04-24,sh.600036,10.0,10.0,9.7,9.77,17241356,169554787.0
2002-04-25,sh.600036,9.75,9.85,9.74,9.81,9960272,97420590.0
2002-04-26,sh.600036,9.82,9.89,9.8,9.84,8169213,80382992.0
2002-04-29,sh.600036,9.84,9.88,9.71,9.85,9036087,88537531.0
2002-04-30,sh.600036,9.89,10.15,9.8,10.02,18262505,182699162.0
2002-05-08,sh.600036,10.0,10.03,9.88,9.9,4228358,41990478.0
2002-05-09,sh.600036,9.89,10.08,9.88,9.94,4470394,44552493.0
2002-05-10,sh.600036,9.91,9.93,9.8,9.81,4638480,45667174.0
2002-05-13,sh.600036,9.8,9.8,9.58,9.62,12725497,122595409.0
2002-05-14,sh.600036,9.6,9.64,9.46,9.48,8239948,78664998.0
2002-05-15,sh.600036,9.46,9.55,9.28,9.29,9708385,91212164.0
2002-05-16,sh.600036,9.28,9.28,9.07,9.15,19517141,178313622.0
2002-05-17,sh.600036,9.18,9.3,9.05,9.25,10010112,91833344.0
2002-05-20,sh.600036,9.13,9.18,8.93,8.98,11297072,101667315.0
2002-05-21,sh.600036,9.18,9.25,9.03,9.18,12608352,115523918.0
2002-05-22,sh.600036,9.19,9.2,8.91,8.94,7338358,66043321.0
2002-05-23,sh.600036,8.95,9.13,8.94,8.98,7188925,64749341.0
2002-05-24,sh.600036,8.98,9.04,8.76,8.87,10526000,92941498.0
2002-05-27,sh.600036,8.89,8.95,8.78,8.91,5439444,48160843.0
2002-05-28,sh.600036,8.91,8.99,8.9,8.92,5607677,50176390.0
2002-05-29,sh.600036,8.92,8.94,8.62,8.67,7480150,65398179.0
2002-05-30,sh.600036,8.66,8.78,8.52,8.75,13179829,113645564.0
2002-05-31,sh.600036,8.73,8.86,8.66,8.7,4669199,40944136.0
2002-06-04,sh.600036,8.63,9.0,8.54,8.86,21315760,188202674.0
2002-06-05,sh.600036,9.22,9.22,8.72,8.74,9149476,80995385.0
2002-06-06,sh.600036,8.74,9.08,8.68,9.0,12530992,112008796.0
2002-06-07,sh.600036,9.01,9.06,8.9,8.98,11760656,105772506.0
2002-06-10,sh.600036,8.98,9.06,8.93,8.99,4910142,44206174.0
2002-06-11,sh.600036,8.99,9.01,8.92,8.94,2848153,25522714.0
2002-06-12,sh.600036,9.0,9.0,8.8,8.87,3036753,26911353.0
2002-06-13,sh.600036,8.87,8.87,8.75,8.76,2861462,25179530.0
2002-06-14,sh.600036,8.75,8.75,8.67,8.68,2939500,25580232.0
2002-06-17,sh.600036,8.65,8.66,8.58,8.66,3036771,26183428.0
2002-06-18,sh.600036,8.66,8.85,8.65,8.81,5317574,46624766.0
2002-06-19,sh.600036,8.81,8.82,8.65,8.68,2774519,24170101.0
2002-06-20,sh.600036,8.68,8.83,8.67,8.73,4108300,36035751.0
2002-06-21,sh.600036,8.75,9.09,8.72,8.97,14947363,133912680.0
2002-06-24,sh.600036,9.87,9.87,9.51,9.87,95065027,934303729.0
2002-06-25,sh.600036,9.99,10.85,9.81,10.45,149514953,1563269915.0
2002-06-26,sh.600036,10.35,10.6,10.15,10.23,41963672,436232331.0
2002-06-27,sh.600036,10.23,10.6,10.18,10.5,41442717,431029640.0
2002-06-28,sh.600036,10.51,11.55,10.51,11.55,156015369,1785125038.0
2002-07-01,sh.600036,11.7,11.84,11.4,11.58,90583632,1050421243.0
2002-07-02,sh.600036,11.55,11.56,11.18,11.44,37955268,431511885.0
2002-07-03,sh.600036,11.4,11.69,11.31,11.47,25683720,295008712.0
2002-07-04,sh.600036,11.5,11.58,10.94,11.11,41951694,469443695.0
2002-07-05,sh.600036,11.0,11.34,10.92,11.3,33747227,375133047.0
2002-07-08,sh.600036,11.19,11.7,11.19,11.34,41931594,482217366.0
2002-07-09,sh.600036,11.35,11.73,11.35,11.65,53912874,625233348.0
2002-07-10,sh.600036,11.65,11.92,11.29,11.31,103668559,1203566183.0
2002-07-11,sh.600036,11.22,11.4,11.15,11.19,31305363,352569995.0
2002-07-12,sh.600036,11.19,11.25,10.98,11.03,32493660,359020954.0
2002-07-15,sh.600036,11.0,11.05,10.75,10.84,23448328,254515311.0
2002-07-16,sh.600036,10.87,11.05,10.79,10.86,18594602,203553086.0
2002-07-17,sh.600036,10.88,11.04,10.79,11.03,8479998,92305411.0
2002-07-18,sh.600036,11.09,11.22,10.98,11.1,20092068,223753099.0
2002-07-19,sh.600036,11.15,11.19,11.0,11.14,9684195,107533034.0
2002-07-22,sh.600036,11.16,11.16,10.66,10.69,21510542,233006983.0
2002-07-23,sh.600036,10.65,11.04,10.61,10.79,18666749,202301214.0
2002-07-24,sh.600036,10.75,10.93,10.69,10.78,8015858,86608486.0
2002-07-25,sh.600036,10.75,10.85,10.59,10.66,10470632,111641666.0
2002-07-26,sh.600036,10.68,10.74,10.6,10.62,7678834,81922996.0
2002-07-29,sh.600036,10.6,10.7,10.5,10.69,8736892,92498906.0
2002-07-30,sh.600036,10.75,11.15,10.69,10.95,33096969,361697367.0
