date,code,open,high,low,close,volume,amount
1998-11-11,sh.600187,10.38,12.59,10.38,12.59,28770023,328821459.0
1998-11-12,sh.600187,12.42,13.07,12.11,12.68,15758788,198664652.0
1998-11-13,sh.600187,12.6,12.78,12.1,12.17,6157410,76172174.0
1998-11-16,sh.600187,12.3,13.3,12.3,13.09,8943205,115648818.0
1998-11-17,sh.600187,13.2,13.24,12.75,12.83,3798180,49010400.0
1998-11-18,sh.600187,12.85,12.93,12.26,12.46,4176025,52086486.0
1998-11-19,sh.600187,12.35,12.6,12.08,12.16,3595866,43995259.0
1998-11-20,sh.600187,12.2,12.5,12.05,12.3,1878705,23023369.0
1998-11-23,sh.600187,12.35,12.62,12.2,12.45,1597851,19941190.0
1998-11-24,sh.600187,12.5,12.59,12.15,12.21,1539060,18858449.0
1998-11-25,sh.600187,12.15,12.3,11.75,11.79,2046302,24582017.0
1998-11-26,sh.600187,11.6,11.92,11.55,11.64,1562233,18223175.0
1998-11-27,sh.600187,11.65,11.83,11.17,11.2,1550750,17687069.0
1998-11-30,sh.600187,11.02,11.38,10.91,11.25,1310737,14557679.0
1998-12-01,sh.600187,11.35,11.35,10.95,10.96,745900,8310556.0
1998-12-02,sh.600187,10.9,11.47,10.85,11.39,1213135,13683792.0
1998-12-03,sh.600187,11.3,11.45,11.1,11.12,650490,7292585.0
1998-12-04,sh.600187,11.12,11.47,11.02,11.34,637481,7195569.0
1998-12-07,sh.600187,11.7,11.75,11.1,11.2,689999,7876025.0
1998-12-08,sh.600187,11.12,11.45,11.1,11.35,414730,4676753.0
1998-12-09,sh.600187,11.4,11.4,11.15,11.27,421858,4751299.0
1998-12-10,sh.600187,11.3,11.3,10.9,10.94,738760,8155258.0
1998-12-11,sh.600187,10.92,11.2,10.85,11.18,405742,4474313.0
1998-12-14,sh.600187,11.18,11.2,10.7,10.75,505200,5526914.0
1998-12-15,sh.600187,10.68,11.0,10.39,10.98,1012155,10708508.0
1998-12-16,sh.600187,10.92,10.92,10.6,10.61,440640,4723644.0
1998-12-17,sh.600187,10.6,10.75,10.45,10.46,492969,5191144.0
1998-12-18,sh.600187,10.4,10.59,10.25,10.3,557950,5799969.0
1998-12-21,sh.600187,10.2,10.52,10.18,10.2,457213,4712500.0
1998-12-22,sh.600187,10.25,10.82,10.25,10.7,949424,10112081.0
1998-12-23,sh.600187,10.8,10.8,10.48,10.5,608908,6459328.0
