date,code,open,high,low,close,volume,amount
2001-08-27,sh.600519,34.51,37.78,32.85,35.55,40631800,1410347179.0
2001-08-28,sh.600519,34.99,37.0,34.61,36.86,12964779,463463143.0
2001-08-29,sh.600519,36.98,37.0,36.1,36.38,5325275,194689620.0
2001-08-30,sh.600519,36.28,37.51,36.0,37.1,4801306,177558558.0
2001-08-31,sh.600519,37.15,37.62,36.8,37.01,2323148,86231237.0
2001-09-03,sh.600519,37.2,37.57,36.85,36.99,2211209,82129438.0
2001-09-04,sh.600519,37.01,38.08,36.88,37.46,3700677,139204380.0
2001-09-05,sh.600519,37.61,37.92,37.21,37.44,2606695,97796243.0
2001-09-06,sh.600519,37.35,37.47,36.51,36.7,2899703,107078403.0
2001-09-07,sh.600519,36.5,36.95,35.65,35.68,3155225,113868743.0
2001-09-10,sh.600519,35.4,36.85,35.01,36.7,1887889,68406471.0
2001-09-11,sh.600519,36.8,36.95,36.2,36.29,1139081,41579698.0
2001-09-12,sh.600519,35.33,36.2,35.3,35.98,2504519,89421380.0
2001-09-13,sh.600519,36.01,36.3,35.7,35.89,1098668,39512775.0
2001-09-14,sh.600519,36.01,36.5,35.8,36.3,767283,27740691.0
2001-09-17,sh.600519,36.08,36.29,35.5,35.84,898397,32183249.0
2001-09-18,sh.600519,35.88,36.55,35.85,36.25,1077326,39006062.0
2001-09-19,sh.600519,36.3,36.92,36.06,36.92,865053,31597369.0
2001-09-20,sh.600519,36.9,37.05,36.5,36.61,1117335,41189577.0
2001-09-21,sh.600519,36.28,36.6,36.0,36.06,787972,28638681.0
2001-09-24,sh.600519,36.06,36.39,36.0,36.05,406860,14703096.0
2001-09-25,sh.600519,36.28,36.54,36.05,36.23,348845,12639790.0
2001-09-26,sh.600519,36.11,36.48,36.0,36.08,495626,17892565.0
2001-09-27,sh.600519,36.08,36.98,36.0,36.7,877804,32085131.0
2001-09-28,sh.600519,36.9,37.2,36.5,37.09,1708847,63169143.0
2001-10-08,sh.600519,37.0,37.18,36.25,36.58,655217,24091149.0
2001-10-09,sh.600519,36.6,37.5,36.6,37.3,955852,35498605.0
2001-10-10,sh.600519,37.3,37.43,36.03,36.1,1754869,63956753.0
2001-10-11,sh.600519,36.01,36.5,35.65,35.75,1230684,44319896.0
2001-10-12,sh.600519,35.9,36.65,34.05,36.0,2001070,70897331.0
2001-10-15,sh.600519,35.9,36.0,34.9,35.3,975531,34501714.0
2001-10-16,sh.600519,35.13,35.8,34.75,34.8,831991,29068173.0
2001-10-17,sh.600519,34.79,34.81,33.9,34.2,1250768,42766283.0
2001-10-18,sh.600519,34.2,34.66,33.91,34.04,498346,16999063.0
2001-10-19,sh.600519,34.0,34.15,33.01,33.5,1568754,52422843.0
2001-10-22,sh.600519,33.3,33.7,32.7,32.79,976065,32268911.0
2001-10-23,sh.600519,36.0,36.07,35.01,36.07,4059824,145710538.0
2001-10-24,sh.600519,36.78,36.8,35.11,35.86,4068239,147001102.0
2001-10-25,sh.600519,35.7,35.8,34.86,34.88,1603686,56527283.0
2001-10-26,sh.600519,34.7,35.1,34.42,35.0,900220,31280145.0
2001-10-29,sh.600519,34.88,35.63,34.88,35.3,458786,16205054.0
2001-10-30,sh.600519,35.25,35.49,34.92,35.0,348417,12214728.0
2001-10-31,sh.600519,35.0,35.09,34.8,35.05,476247,16633345.0
2001-11-01,sh.600519,35.05,35.64,34.95,35.57,664303,23511580.0
2001-11-02,sh.600519,35.28,35.72,35.16,35.36,343520,12189356.0
2001-11-05,sh.600519,35.0,35.26,34.7,34.9,369076,12879737.0
2001-11-06,sh.600519,34.8,35.3,34.72,35.15,260931,9138666.0
2001-11-07,sh.600519,35.0,35.0,33.8,33.85,932538,31791131.0
2001-11-08,sh.600519,33.35,33.89,32.98,33.7,740216,24682905.0
2001-11-09,sh.600519,33.7,34.48,33.34,34.15,376076,12737203.0
2001-11-12,sh.600519,34.4,34.4,33.52,33.6,268333,9088858.0
2001-11-13,sh.600519,33.28,33.7,33.21,33.64,267381,8965279.0
