date,code,open,high,low,close,volume,amount
1997-03-18,sh.600795,22.0,28.8,22.0,26.98,3219533,85190504.0
1997-03-19,sh.600795,26.0,26.35,25.0,25.58,1274804,32423191.0
1997-03-20,sh.600795,25.68,25.98,25.0,25.18,517831,13053867.0
1997-03-21,sh.600795,25.0,25.2,24.0,24.98,537842,13332869.0
1997-03-24,sh.600795,24.8,24.9,24.2,24.3,738830,18121434.0
1997-03-25,sh.600795,24.0,24.63,23.1,24.5,969656,22846486.0
1997-03-26,sh.600795,24.49,25.25,24.48,24.8,709784,17662585.0
1997-03-27,sh.600795,24.8,24.87,24.2,24.4,319235,7818690.0
1997-03-28,sh.600795,24.33,24.7,24.2,24.5,429772,10511509.0
1997-03-31,sh.600795,25.95,25.95,24.01,24.3,301859,7439413.0
1997-04-01,sh.600795,24.6,24.8,24.0,24.08,217099,5242831.0
1997-04-02,sh.600795,24.1,24.38,24.0,24.14,201452,4846982.0
1997-04-03,sh.600795,24.06,24.06,23.6,24.0,191273,4551681.0
1997-04-04,sh.600795,24.06,25.0,23.5,24.58,349514,8551807.0
1997-04-07,sh.600795,24.5,25.4,24.25,25.18,526617,13119384.0
1997-04-08,sh.600795,25.0,25.0,24.51,24.55,263427,6518574.0
1997-04-09,sh.600795,24.55,25.15,24.5,24.75,257032,6382663.0
1997-04-10,sh.600795,24.8,25.15,24.6,24.75,251457,6216309.0
1997-04-11,sh.600795,24.75,24.8,24.15,24.16,233559,5690172.0
1997-04-14,sh.600795,24.5,25.3,24.48,25.0,537123,13447730.0
1997-04-15,sh.600795,25.05,25.1,24.5,24.8,139806,3466249.0
1997-04-16,sh.600795,24.8,25.0,24.55,24.6,156128,3856454.0
1997-04-17,sh.600795,24.6,25.15,24.48,24.85,232914,5777337.0
1997-04-18,sh.600795,24.8,24.94,24.5,24.75,135966,3358533.0
1997-04-21,sh.600795,24.8,25.12,24.75,24.9,346864,8668475.0
1997-04-22,sh.600795,25.0,25.0,24.51,24.99,206640,5138105.0
1997-04-23,sh.600795,25.1,26.36,25.06,25.88,552314,14179862.0
1997-04-24,sh.600795,26.0,28.46,25.5,27.69,970671,26274139.0
1997-04-25,sh.600795,27.6,27.9,26.5,26.5,636728,17390416.0
1997-04-28,sh.600795,28.0,28.8,26.9,27.25,767341,21306459.0
1997-04-30,sh.600795,27.0,27.49,24.98,26.99,345674,9288196.0
1997-05-05,sh.600795,27.4,27.9,26.8,27.0,751094,20343249.0
1997-05-06,sh.600795,27.0,27.88,26.65,27.36,819056,22353746.0
1997-05-07,sh.600795,17.38,17.79,17.0,17.41,1518187,26589789.0
1997-05-08,sh.600795,17.39,17.39,16.78,16.9,1254914,21414857.0
1997-05-09,sh.600795,16.7,17.69,16.55,17.6,1212638,20777818.0
1997-05-12,sh.600795,17.8,17.8,17.38,17.68,1243808,21930689.0
1997-05-13,sh.600795,17.68,17.82,17.31,17.72,1144795,20239546.0
1997-05-14,sh.600795,17.68,17.75,17.16,17.51,746804,13074810.0
1997-05-15,sh.600795,17.2,17.8,17.1,17.73,568978,9980793.0
1997-05-16,sh.600795,17.38,17.7,16.01,16.64,606699,10487937.0
1997-05-19,sh.600795,16.8,17.65,16.51,17.53,488589,8400437.0
1997-05-20,sh.600795,18.0,18.0,17.54,17.6,631900,11243160.0
1997-05-21,sh.600795,17.88,17.88,17.4,17.71,1212794,21438262.0
1997-05-22,sh.600795,17.39,17.39,16.61,16.61,313917,5269743.0
1997-05-23,sh.600795,16.6,17.18,16.31,17.05,185450,3150464.0
1997-05-26,sh.600795,17.1,17.58,17.0,17.5,327451,5650473.0
1997-05-27,sh.600795,17.58,17.85,17.2,17.8,673042,11909776.0
1997-05-28,sh.600795,17.8,17.8,17.5,17.51,262358,4625911.0
1997-05-29,sh.600795,17.51,17.8,17.3,17.3,173343,3025864.0
1997-05-30,sh.600795,17.2,17.6,17.2,17.5,94050,1641708.0
1997-06-02,sh.600795,17.8,18.4,17.4,18.3,698033,12527953.0
1997-06-03,sh.600795,18.3,18.5,18.02,18.4,538794,9807718.0
1997-06-04,sh.600795,18.5,18.5,18.19,18.45,307131,5629108.0
1997-06-05,sh.600795,18.4,18.45,18.11,18.4,273063,4984231.0
1997-06-06,sh.600795,18.0,18.31,17.5,17.8,480864,8623190.0
1997-06-09,sh.600795,17.8,17.98,17.52,17.9,160637,2844941.0
1997-06-10,sh.600795,17.96,18.0,17.51,17.9,147296,2626522.0
1997-06-11,sh.600795,17.9,17.9,17.3,17.9,192045,3376852.0
1997-06-12,sh.600795,17.9,19.1,17.7,18.2,365293,6703030.0
1997-06-13,sh.600795,17.8,18.6,17.71,18.59,493356,9069790.0
1997-06-16,sh.600795,18.5,19.98,18.5,19.66,1002893,19507878.0
1997-06-17,sh.600795,19.5,20.3,19.2,20.2,989021,19704417.0
1997-06-18,sh.600795,21.2,21.28,20.3,20.8,668492,13795159.0
1997-06-19,sh.600795,20.3,21.18,20.3,20.8,677144,14005051.0
1997-06-20,sh.600795,20.5,21.68,20.5,21.68,1039278,21918300.0
1997-06-23,sh.600795,21.3,21.9,20.5,20.88,604654,12800275.0
1997-06-24,sh.600795,20.88,20.95,20.1,20.6,339195,6911658.0
1997-06-25,sh.600795,20.4,20.7,20.1,20.4,326938,6682291.0
1997-06-26,sh.600795,20.4,20.77,20.35,20.62,406960,8370606.0
1997-06-27,sh.600795,20.5,20.69,19.59,20.69,738973,14832704.0
1997-07-02,sh.600795,20.3,20.53,19.6,20.3,257522,5166503.0
1997-07-03,sh.600795,20.3,20.5,19.9,20.46,369776,7476441.0
1997-07-04,sh.600795,20.4,21.87,20.05,21.75,1416372,30168069.0
1997-07-07,sh.600795,21.6,22.6,21.58,22.18,1350124,29821185.0
1997-07-08,sh.600795,21.9,22.11,20.51,21.6,571915,12188904.0
1997-07-09,sh.600795,21.6,21.66,21.0,21.6,343082,7291539.0
1997-07-10,sh.600795,21.6,21.75,21.31,21.6,294942,6356527.0
1997-07-11,sh.600795,21.6,22.4,21.32,22.36,1266550,28177008.0
1997-07-14,sh.600795,22.28,22.96,21.78,22.9,1466579,32873069.0
1997-07-15,sh.600795,25.19,25.19,23.44,23.95,4497406,111275686.0
1997-07-16,sh.600795,23.53,23.55,22.3,22.88,1473070,33546003.0
1997-07-17,sh.600795,22.6,23.19,22.3,22.9,762650,17240008.0
1997-07-18,sh.600795,22.7,23.6,22.61,23.58,655607,15241065.0
1997-07-21,sh.600795,23.46,24.02,22.65,22.95,593566,13911524.0
1997-07-22,sh.600795,22.6,23.12,22.32,22.95,493910,11205442.0
1997-07-23,sh.600795,23.0,23.46,22.75,23.3,530299,12311454.0
1997-07-24,sh.600795,23.18,24.0,23.18,23.27,806550,19123798.0
1997-07-25,sh.600795,23.28,23.42,22.9,23.28,404730,9381859.0
1997-07-28,sh.600795,23.3,24.25,23.2,23.93,1278385,30611189.0
1997-07-29,sh.600795,24.9,25.5,23.59,24.08,949044,22881760.0
1997-07-30,sh.600795,24.06,24.7,24.0,24.68,669950,16342800.0
1997-07-31,sh.600795,24.75,26.08,24.75,25.49,1856435,47549415.0
1997-08-01,sh.600795,25.4,25.8,25.21,25.76,660112,16913518.0
1997-08-04,sh.600795,25.74,26.75,25.16,25.4,1787800,46665968.0
1997-08-05,sh.600795,25.0,25.98,24.51,25.65,780059,19568813.0
1997-08-06,sh.600795,25.6,25.9,25.26,25.28,395660,10119890.0
1997-08-07,sh.600795,25.0,25.68,24.9,25.5,234701,5907606.0
1997-08-08,sh.600795,25.64,25.96,25.4,25.5,249326,6375139.0
