date,code,open,high,low,close,volume,amount
2021-06-10,sh.600905,3.18,3.82,3.18,3.82,157381727,596262424.98
2021-06-11,sh.600905,4.2,4.2,4.2,4.2,34734080,145883136.0
2021-06-15,sh.600905,4.62,4.62,4.23,4.62,3645307536,16407455025.23
2021-06-16,sh.600905,4.61,5.07,4.35,4.95,3148735008,15016698492.69
2021-06-17,sh.600905,4.87,5.45,4.77,5.45,1309220800,6872921050.59
2021-06-18,sh.600905,5.9,6.0,5.78,6.0,602439248,3565611747.46
2021-06-21,sh.600905,6.6,6.6,6.6,6.6,139373536,919865337.6
2021-06-22,sh.600905,7.26,7.26,7.26,7.26,36165464,262561268.64
2021-06-23,sh.600905,7.99,7.99,7.99,7.99,23131229,184818519.71
2021-06-24,sh.600905,8.79,8.79,7.19,7.32,3516945264,27698437625.37
2021-06-25,sh.600905,6.99,7.54,6.71,6.89,2193758784,15295257912.61
2021-06-28,sh.600905,6.75,6.75,6.33,6.35,1881854928,12244437656.55
2021-06-29,sh.600905,6.22,6.86,6.11,6.68,1953941104,12859344779.27
2021-06-30,sh.600905,6.52,6.54,6.28,6.36,1270944384,8106076688.29
2021-07-01,sh.600905,6.3,6.55,6.23,6.25,980696560,6247749212.2
2021-07-02,sh.600905,6.27,6.32,5.9,5.95,1066739568,6406020192.49
2021-07-05,sh.600905,5.9,5.98,5.7,5.84,913494880,5287802860.17
2021-07-06,sh.600905,5.85,6.42,5.75,6.42,1666310624,10229750031.13
2021-07-07,sh.600905,6.3,6.64,6.12,6.38,1527864608,9674468557.26
2021-07-08,sh.600905,6.46,6.89,6.31,6.76,1542166016,10289354077.41
2021-07-09,sh.600905,6.68,7.18,6.53,6.96,1454306176,10042488423.34
2021-07-12,sh.600905,6.86,7.0,6.64,6.78,1183712736,8044042166.47
2021-07-13,sh.600905,6.67,7.15,6.62,6.99,1304790752,9078657782.58
2021-07-14,sh.600905,6.99,7.15,6.69,6.81,1169349536,8087320908.13
2021-07-15,sh.600905,6.71,6.78,6.42,6.59,858209184,5655317755.94
2021-07-16,sh.600905,6.71,6.88,6.58,6.61,893805920,6022988960.1
2021-07-19,sh.600905,6.49,6.49,6.25,6.33,716390704,4548540840.46
2021-07-20,sh.600905,6.23,6.4,6.17,6.31,507745968,3188383295.38
2021-07-21,sh.600905,6.31,6.35,6.22,6.24,570056352,3566866109.96
2021-07-22,sh.600905,6.27,6.4,6.23,6.27,565872048,3562733028.04
2021-07-23,sh.600905,6.24,6.24,6.05,6.1,660967072,4028467516.15
2021-07-26,sh.600905,6.08,6.08,5.85,5.96,541008544,3220634951.42
2021-07-27,sh.600905,5.92,6.35,5.81,6.25,1012908208,6209198672.69
2021-07-28,sh.600905,6.2,6.2,5.8,5.96,555526176,3339290426.44
2021-07-29,sh.600905,5.95,6.08,5.92,6.01,476929776,2861733981.16
2021-07-30,sh.600905,5.96,6.28,5.9,6.12,627187856,3834746295.46
2021-08-02,sh.600905,6.13,6.17,5.95,6.1,533699600,3230837658.25
2021-08-03,sh.600905,6.03,6.14,5.97,5.99,466117312,2811818126.17
2021-08-04,sh.600905,5.97,6.15,5.93,6.11,514523264,3100822755.64
2021-08-05,sh.600905,6.05,6.1,5.98,6.0,382434304,2303100629.74
2021-08-06,sh.600905,5.96,5.99,5.92,5.94,326106816,1937120680.08
2021-08-09,sh.600905,5.96,5.99,5.88,5.89,350273392,2070615250.55
2021-08-10,sh.600905,5.87,5.89,5.82,5.85,382940160,2237084735.5
2021-08-11,sh.600905,5.85,6.03,5.77,5.92,595644672,3516384187.0
2021-08-12,sh.600905,5.85,5.88,5.81,5.82,398823056,2322885975.24
2021-08-13,sh.600905,5.8,5.81,5.71,5.72,393504272,2261638051.2
2021-08-16,sh.600905,5.73,6.24,5.73,6.1,975397008,5826864413.25
2021-08-17,sh.600905,6.15,6.15,5.9,5.91,663096688,3972931540.34
2021-08-18,sh.600905,5.82,5.85,5.76,5.83,356977824,2072488903.01
2021-08-19,sh.600905,5.81,5.9,5.76,5.83,288436048,1681640910.07
2021-08-20,sh.600905,5.8,5.81,5.71,5.74,326506944,1873368307.79
2021-08-23,sh.600905,5.72,5.8,5.7,5.75,270858864,1557440286.28
2021-08-24,sh.600905,5.73,5.82,5.7,5.74,358216960,2055500575.34
2021-08-25,sh.600905,5.71,5.73,5.6,5.62,408402496,2301017146.95
2021-08-26,sh.600905,5.6,5.6,5.47,5.47,419130016,2308667407.52
2021-08-27,sh.600905,5.55,5.7,5.52,5.53,412154176,2308717369.35
2021-08-30,sh.600905,5.55,5.64,5.38,5.59,518465808,2835924856.51
2021-08-31,sh.600905,5.53,5.57,5.47,5.5,285954848,1572915857.77
2021-09-01,sh.600905,5.48,5.58,5.46,5.53,295418144,1633508679.89
2021-09-02,sh.600905,5.52,6.06,5.49,5.98,1186926768,6973663706.01
2021-09-03,sh.600905,5.99,6.58,5.9,6.5,1811661808,11559396781.44
2021-09-06,sh.600905,6.67,6.69,6.05,6.38,1246768848,7876940614.29
2021-09-07,sh.600905,6.25,6.69,6.21,6.55,1071021600,6850215391.37
2021-09-08,sh.600905,6.66,6.88,6.53,6.54,1178267680,7844719485.02
2021-09-09,sh.600905,6.37,6.39,6.22,6.24,802475872,5043062123.84
2021-09-10,sh.600905,6.2,6.33,6.1,6.12,620703792,3836579066.5
2021-09-13,sh.600905,6.12,6.19,6.01,6.16,539173600,3287389536.45
2021-09-14,sh.600905,6.17,6.17,5.96,5.98,450146704,2721651922.03
2021-09-15,sh.600905,5.94,6.22,5.92,6.16,517948688,3168637537.66
2021-09-16,sh.600905,6.14,6.15,6.0,6.02,374088608,2265451102.66
2021-09-17,sh.600905,5.99,6.62,5.98,6.62,1569246144,10078911341.79
2021-09-22,sh.600905,6.77,7.28,6.71,7.28,1583413568,11236891893.49
2021-09-23,sh.600905,7.65,7.65,6.9,6.96,1540421136,11079527111.63
2021-09-24,sh.600905,6.94,7.35,6.77,7.11,1211879520,8575362308.26
2021-09-27,sh.600905,7.3,7.35,6.6,6.88,994198784,6882182629.92
2021-09-28,sh.600905,6.77,7.57,6.72,7.46,1286062992,9389622042.91
2021-09-29,sh.600905,7.29,7.45,7.01,7.06,883286432,6349443500.56
2021-09-30,sh.600905,7.09,7.5,6.93,7.37,864966784,6223538942.6
2021-10-08,sh.600905,7.43,7.5,7.01,7.14,620487632,4431343196.14
2021-10-11,sh.600905,7.22,7.25,6.7,6.84,612332288,4215289412.85
2021-10-12,sh.600905,6.7,6.94,6.45,6.73,604744512,4023814900.69
2021-10-13,sh.600905,6.64,6.64,6.36,6.49,443109648,2871685519.4
2021-10-14,sh.600905,6.41,6.69,6.33,6.53,449812928,2935874305.6
2021-10-15,sh.600905,6.48,6.75,6.43,6.68,414609776,2740001171.16
2021-10-18,sh.600905,6.74,7.18,6.66,7.0,660360976,4589898635.63
2021-10-19,sh.600905,6.97,7.03,6.86,6.9,410909920,2851204021.24
2021-10-20,sh.600905,6.85,7.2,6.82,7.1,674684944,4760163818.04
2021-10-21,sh.600905,7.05,7.05,6.82,6.88,529795648,3662363508.75
2021-10-22,sh.600905,6.86,6.87,6.62,6.63,381318624,2561022760.82
2021-10-25,sh.600905,6.7,6.9,6.65,6.8,390349504,2655262615.56
2021-10-26,sh.600905,6.8,7.04,6.75,6.82,470291104,3251325402.42
2021-10-27,sh.600905,6.82,7.27,6.74,7.15,985291312,6993553607.45
2021-10-28,sh.600905,7.1,7.56,7.03,7.22,847323872,6164442083.93
2021-10-29,sh.600905,7.15,7.24,6.87,7.24,729669344,5156603212.78
2021-11-01,sh.600905,7.08,7.96,7.02,7.78,1334168112,10086400933.5
2021-11-02,sh.600905,7.63,7.88,7.42,7.55,913612784,6964424325.68
2021-11-03,sh.600905,7.52,7.56,7.22,7.41,592131328,4371230946.55
2021-11-04,sh.600905,7.33,7.77,7.33,7.66,702327584,5365317957.34
2021-11-05,sh.600905,7.6,7.7,7.03,7.07,872046464,6389743017.85
2021-11-08,sh.600905,7.07,7.1,6.81,6.96,544078176,3775184852.33
2021-11-09,sh.600905,7.1,7.26,7.02,7.13,586718192,4191106714.89
2021-11-10,sh.600905,7.1,7.18,6.96,7.14,369750976,2609808809.3
2021-11-11,sh.600905,7.09,7.09,6.9,6.92,379060912,2637401916.31
2021-11-12,sh.600905,6.89,6.96,6.83,6.9,310911456,2143099709.2
2021-11-15,sh.600905,6.87,6.87,6.63,6.7,476394064,3189286614.4
2021-11-16,sh.600905,6.63,6.77,6.62,6.73,254954150,1707259811.7
2021-11-17,sh.600905,6.75,6.78,6.66,6.73,253465783,1705664841.64
2021-11-18,sh.600905,6.7,6.97,6.66,6.9,417226912,2856360612.48
2021-11-19,sh.600905,6.88,6.88,6.76,6.86,256937189,1753837311.63
2021-11-22,sh.600905,6.85,6.9,6.76,6.81,363334032,2468255898.57
2021-11-23,sh.600905,6.81,6.81,6.68,6.7,307785376,2065284273.98
2021-11-24,sh.600905,6.71,6.73,6.48,6.6,530713840,3498729344.7
2021-11-25,sh.600905,6.62,6.75,6.61,6.65,312272064,2087374990.04
2021-11-26,sh.600905,6.6,6.61,6.45,6.5,373490544,2423637994.21
2021-11-29,sh.600905,6.35,6.61,6.3,6.54,338480160,2198536865.59
2021-11-30,sh.600905,6.54,6.68,6.51,6.64,277313024,1837494761.39
