date,code,open,high,low,close,volume,amount
2007-03-01,sh.601318,50.0,50.97,45.8,46.79,197763351,9500302911.0
2007-03-02,sh.601318,47.0,47.44,45.88,46.41,42504832,1981445189.0
2007-03-05,sh.601318,45.98,46.17,43.53,44.38,41919674,1880502808.0
2007-03-06,sh.601318,44.0,46.0,43.75,45.25,29772788,1337719318.0
2007-03-07,sh.601318,45.29,46.9,44.91,46.48,28746378,1317764044.0
2007-03-08,sh.601318,46.1,46.33,45.68,45.92,13098383,601904452.0
2007-03-09,sh.601318,45.9,46.1,44.7,45.53,16088779,729237345.0
2007-03-12,sh.601318,45.3,45.3,44.5,44.71,14535306,651218161.0
2007-03-13,sh.601318,44.81,45.26,44.62,44.89,10231968,459295478.0
2007-03-14,sh.601318,44.3,45.1,43.79,44.94,17330656,767078398.0
2007-03-15,sh.601318,45.52,46.49,44.8,44.96,15252190,693085265.0
2007-03-16,sh.601318,44.99,45.95,44.4,45.21,22754724,1025880313.0
2007-03-20,sh.601318,46.8,46.92,45.5,45.78,22202687,1022520826.0
2007-03-21,sh.601318,45.8,46.0,44.9,45.1,13672832,618375507.0
2007-03-22,sh.601318,45.45,45.92,45.23,45.36,16750984,762792451.0
2007-03-23,sh.601318,45.34,45.53,44.71,45.16,13981014,631651813.0
2007-03-26,sh.601318,45.2,46.2,45.18,45.94,22326679,1024315888.0
2007-03-27,sh.601318,45.79,46.36,45.63,45.91,13933819,640740822.0
2007-03-28,sh.601318,45.9,46.9,45.58,46.58,25826369,1197347468.0
2007-03-29,sh.601318,46.81,48.79,46.48,47.4,46198618,2209005944.0
2007-03-30,sh.601318,46.96,47.87,46.72,47.05,14461720,683029951.0
2007-04-02,sh.601318,47.05,48.7,47.05,48.39,23144503,1118052954.0
2007-04-03,sh.601318,48.42,48.76,47.9,48.21,13271204,640969005.0
2007-04-04,sh.601318,48.22,48.5,47.55,47.79,12245469,586499998.0
2007-04-05,sh.601318,47.8,48.0,47.2,47.92,12286538,584881789.0
2007-04-06,sh.601318,47.68,48.95,47.5,48.01,19520852,944575927.0
2007-04-09,sh.601318,48.09,51.89,47.7,51.61,46277021,2312736816.0
2007-04-10,sh.601318,51.0,53.68,51.0,52.82,40782390,2154172426.0
2007-04-11,sh.601318,52.88,55.18,52.6,53.54,24344650,1313817488.0
2007-04-12,sh.601318,53.98,58.0,52.95,53.44,15927043,855188897.0
