date,code,open,high,low,close,volume,amount
2021-08-20,sh.601728,4.79,6.52,4.58,6.11,3884664320,20105590935.0
2021-08-23,sh.601728,5.5,5.5,5.5,5.5,310972400,1710348200.0
2021-08-24,sh.601728,4.95,4.95,4.95,4.95,406597504,2012657625.0
2021-08-25,sh.601728,4.95,5.14,4.77,4.83,2084090256,10182275515.46
2021-08-26,sh.601728,4.73,4.84,4.62,4.71,1381649328,6471125817.76
2021-08-27,sh.601728,4.66,4.7,4.6,4.61,915488256,4241738648.5
2021-08-30,sh.601728,4.62,4.67,4.58,4.64,828324064,3821401676.65
2021-08-31,sh.601728,4.61,4.62,4.55,4.56,742828832,3392268860.08
2021-09-01,sh.601728,4.55,4.61,4.54,4.58,691719408,3164104038.61
2021-09-02,sh.601728,4.56,4.57,4.54,4.56,598877040,2724702722.0
2021-09-03,sh.601728,4.55,4.55,4.53,4.54,560911936,2547149313.06
2021-09-06,sh.601728,4.54,4.58,4.53,4.55,596007072,2710518570.11
2021-09-07,sh.601728,4.54,4.55,4.53,4.54,498043232,2260798202.6
2021-09-08,sh.601728,4.54,4.55,4.53,4.54,457927360,2078538311.47
2021-09-09,sh.601728,4.54,4.55,4.53,4.54,419472208,1903991706.13
2021-09-10,sh.601728,4.54,4.55,4.53,4.53,402243808,1825151136.12
2021-09-13,sh.601728,4.53,4.54,4.53,4.54,343276816,1556374120.66
2021-09-14,sh.601728,4.54,4.54,4.53,4.53,408281632,1850571691.25
2021-09-15,sh.601728,4.53,4.54,4.53,4.53,339075120,1536797205.36
2021-09-16,sh.601728,4.53,4.54,4.53,4.53,436825808,1979723046.24
2021-09-17,sh.601728,4.53,4.54,4.53,4.53,539070048,2442833878.97
2021-09-22,sh.601728,4.54,4.73,4.53,4.63,543501920,2511000019.25
2021-09-23,sh.601728,4.59,4.6,4.54,4.55,334993200,1524449637.63
2021-09-24,sh.601728,4.54,4.55,4.43,4.44,354509152,1585257583.41
2021-09-27,sh.601728,4.44,4.44,4.3,4.31,285734320,1241402320.91
2021-09-28,sh.601728,4.29,4.38,4.25,4.34,158002969,681213378.87
2021-09-29,sh.601728,4.29,4.31,4.25,4.26,145843812,622819085.76
2021-09-30,sh.601728,4.26,4.3,4.25,4.29,97689323,417242994.42
2021-10-08,sh.601728,4.3,4.35,4.27,4.34,140377383,605277972.86
2021-10-11,sh.601728,4.33,4.35,4.31,4.33,105987535,458657570.69
2021-10-12,sh.601728,4.32,4.33,4.25,4.28,126268161,540901958.76
2021-10-13,sh.601728,4.27,4.28,4.25,4.27,85803160,366030483.49
2021-10-14,sh.601728,4.27,4.27,4.25,4.26,67538893,287773377.91
2021-10-15,sh.601728,4.26,4.28,4.25,4.26,78302887,333829891.56
2021-10-18,sh.601728,4.26,4.26,4.21,4.22,115107082,486110059.33
2021-10-19,sh.601728,4.22,4.23,4.19,4.2,93616996,393561817.11
2021-10-20,sh.601728,4.2,4.21,4.18,4.19,80494821,337215586.11
2021-10-21,sh.601728,4.19,4.19,4.16,4.17,88284552,368320418.44
2021-10-22,sh.601728,4.16,4.16,4.13,4.14,103028857,427089228.67
2021-10-25,sh.601728,4.14,4.22,4.14,4.22,140698566,588654773.1
2021-10-26,sh.601728,4.2,4.22,4.16,4.2,106323021,444934726.39
2021-10-27,sh.601728,4.18,4.23,4.14,4.23,127170880,531832950.87
2021-10-28,sh.601728,4.23,4.41,4.18,4.41,211183338,903833886.32
2021-10-29,sh.601728,4.35,4.39,4.31,4.39,166786136,726321997.39
2021-11-01,sh.601728,4.35,4.36,4.31,4.33,86848662,376131564.27
2021-11-02,sh.601728,4.31,4.33,4.22,4.22,103392173,441375814.06
2021-11-03,sh.601728,4.21,4.22,4.19,4.21,56751205,238716055.45
2021-11-04,sh.601728,4.21,4.22,4.18,4.19,60252322,252605813.7
2021-11-05,sh.601728,4.19,4.27,4.17,4.24,117217118,495684838.89
2021-11-08,sh.601728,4.22,4.24,4.2,4.21,57234348,241042211.56
2021-11-09,sh.601728,4.2,4.24,4.19,4.22,54105157,228141216.66
2021-11-10,sh.601728,4.22,4.23,4.19,4.21,53161541,223587319.39
2021-11-11,sh.601728,4.2,4.23,4.2,4.21,63302413,266651974.41
2021-11-12,sh.601728,4.21,4.22,4.2,4.21,56733806,238809614.48
2021-11-15,sh.601728,4.22,4.25,4.21,4.22,69201950,292359117.0
2021-11-16,sh.601728,4.22,4.23,4.2,4.21,55596261,234427455.33
2021-11-17,sh.601728,4.21,4.22,4.2,4.21,39879159,167862985.39
2021-11-18,sh.601728,4.21,4.22,4.18,4.18,62993300,264188491.0
2021-11-19,sh.601728,4.18,4.2,4.17,4.19,57566672,240786708.0
2021-11-22,sh.601728,4.19,4.4,4.18,4.4,232716104,998998253.02
2021-11-23,sh.601728,4.32,4.35,4.29,4.3,124425580,536434783.62
2021-11-24,sh.601728,4.29,4.32,4.26,4.29,74774503,320272954.77
2021-11-25,sh.601728,4.28,4.3,4.28,4.28,42905517,183917679.38
2021-11-26,sh.601728,4.28,4.29,4.27,4.28,50985664,218147870.28
2021-11-29,sh.601728,4.27,4.31,4.24,4.28,71173828,305020555.95
