date,code,open,high,low,close,volume,amount
2015-06-10,sh.601985,4.07,4.88,4.07,4.88,741098,3575896.0
2015-06-11,sh.601985,5.37,5.37,5.37,5.37,381000,2045970.0
2015-06-12,sh.601985,5.91,5.91,5.91,5.91,394551,2331796.0
2015-06-15,sh.601985,6.5,6.5,6.5,6.5,589542,3832023.0
2015-06-16,sh.601985,7.15,7.15,7.15,7.15,807100,5770765.0
2015-06-17,sh.601985,7.87,7.87,7.87,7.87,1532229,12058642.0
2015-06-18,sh.601985,8.66,8.66,8.66,8.66,1332448,11539000.0
2015-06-19,sh.601985,9.53,9.53,9.53,9.53,7689915,73284890.0
2015-06-23,sh.601985,10.48,10.48,10.48,10.48,13405468,140489305.0
2015-06-24,sh.601985,11.53,11.53,11.53,11.53,6919239,79778826.0
2015-06-25,sh.601985,12.68,12.68,12.68,12.68,5769394,73155916.0
2015-06-26,sh.601985,13.95,13.95,13.01,13.95,1616476992,22291047424.0
2015-06-29,sh.601985,13.7,13.95,12.56,13.23,1705666144,22663793920.0
2015-06-30,sh.601985,12.8,13.66,11.91,13.07,1311217248,16530763520.0
2015-07-01,sh.601985,12.6,14.38,12.01,13.32,1773514688,24113340672.0
2015-07-02,sh.601985,12.25,13.0,11.99,11.99,1059540496,13092278272.0
2015-07-03,sh.601985,11.25,11.85,10.79,10.79,666030624,7354151168.0
2015-07-06,sh.601985,11.87,11.87,9.71,10.12,1067461328,11480446464.0
2015-07-07,sh.601985,9.31,9.55,9.11,9.11,317142512,2924318112.0
2015-07-08,sh.601985,8.2,8.2,8.2,8.2,47199400,387035088.0
2015-07-09,sh.601985,7.38,9.02,7.38,9.02,945802976,7874380800.0
2015-07-10,sh.601985,9.08,9.92,9.04,9.92,361108688,3476178720.0
2015-07-13,sh.601985,10.68,10.91,10.3,10.91,728043104,7828808448.0
2015-07-14,sh.601985,11.32,11.97,10.87,11.52,1130123296,12981595904.0
2015-07-15,sh.601985,10.98,11.23,10.37,10.37,607443072,6471086336.0
2015-07-16,sh.601985,9.9,11.33,9.48,10.86,693476032,7428417280.0
2015-07-17,sh.601985,10.95,11.8,10.66,11.51,707499008,7989513472.0
2015-07-20,sh.601985,11.45,11.66,11.0,11.36,718661248,8158905344.0
2015-07-21,sh.601985,11.02,12.5,10.9,12.18,987526656,11764906496.0
2015-07-22,sh.601985,11.88,12.1,11.55,11.91,721371680,8554126080.0
